,X Axis,Y Axis,Z Axis
645664,-0.00607961,0.96185219,0.04248571
645666,-0.00006026,0.96800506,0.04865646
645668,-0.00607961,0.96800506,0.04248571
645671,-0.00607961,0.96800506,0.03631496
645673,-0.00607961,0.96185219,0.03631496
645676,-0.00607961,0.96185219,0.03014421
645679,-0.00607961,0.96185219,0.03014421
645681,-0.00607961,0.96185219,0.03014421
645683,-0.00006026,0.96800506,0.03631496
645686,-0.00006026,0.96185219,0.03631496
645688,-0.00006026,0.96185219,0.03014421
645690,-0.00607961,0.96185219,0.03014421
645692,-0.00006026,0.96185219,0.02397346
645695,-0.00607961,0.96185219,0.02397346
645697,-0.00607961,0.96185219,0.02397346
645699,-0.00607961,0.96800506,0.03014421
645702,-0.00607961,0.96800506,0.03631496
645704,-0.00607961,0.96185219,0.03014421
645706,-0.00006026,0.96185219,0.02397346
645708,-0.00006026,0.96185219,0.02397346
645711,-0.00006026,0.95569932,0.02397346
645713,-0.00607961,0.96185219,0.02397346
645715,-0.00607961,0.95569932,0.01780272
645719,-0.01209903,0.95569932,0.02397346
645721,-0.00607961,0.96800506,0.02397346
645723,-0.00607961,0.96800506,0.02397346
645726,-0.00607961,0.96800506,0.02397346
645728,-0.00607961,0.96800506,0.02397346
645730,-0.00607961,0.96800506,0.01780272
645732,-0.00006026,0.96800506,0.01780272
645735,-0.00607961,0.95569932,0.01163197
645737,-0.00006026,0.96800506,0.02397346
645739,-0.00607961,0.96185219,0.01780272
645742,-0.00006026,0.96800506,0.01780272
645744,-0.00607961,0.96185219,0.01780272
645746,-0.00006026,0.96185219,0.01780272
645748,-0.00006026,0.96185219,0.01780272
645751,0.00595915,0.96800506,0.01780272
645753,-0.00006026,0.95569932,0.01780272
645755,-0.00006026,0.96185219,0.01780272
645758,-0.00607961,0.96185219,0.01780272
645761,-0.00607961,0.96185219,0.01780272
645763,-0.00607961,0.96185219,0.02397346
645766,-0.00006026,0.96185219,0.01780272
645768,0.00595915,0.97415793,0.03631496
645770,-0.00006026,0.96185219,0.03014421
645772,-0.00006026,0.96800506,0.03014421
645775,-0.00006026,0.96185219,0.03014421
645777,-0.00607961,0.96185219,0.03014421
645779,-0.00607961,0.96185219,0.03631496
645782,-0.00006026,0.96185219,0.03631496
645784,-0.01209903,0.95569932,0.03631496
645786,-0.00607961,0.96800506,0.03014421
645788,-0.00607961,0.96185219,0.03631496
645791,-0.00607961,0.96185219,0.03631496
645793,-0.00607961,0.96185219,0.03631496
645795,-0.00607961,0.96185219,0.03014421
645798,-0.00607961,0.96185219,0.03631496
645800,-0.02413779,0.94339347,0.02397346
645803,-0.00006026,0.96800506,0.03014421
645806,-0.00006026,0.96800506,0.02397346
645808,-0.00607961,0.96800506,0.02397346
645810,-0.00607961,0.96185219,0.02397346
645812,-0.00006026,0.96185219,0.01780272
645815,-0.00607961,0.96185219,0.02397346
645817,-0.01209903,0.9372406,-0.00070953
645819,-0.00006026,0.96800506,0.02397346
645822,-0.00607961,0.96185219,0.02397346
645824,-0.00607961,0.96185219,0.02397346
645826,-0.00607961,0.96800506,0.02397346
645828,-0.00607961,0.96185219,0.02397346
645831,-0.00006026,0.96185219,0.03014421
645833,0.00595915,0.96185219,0.01780272
645835,-0.00006026,0.96800506,0.02397346
645838,-0.00607961,0.96800506,0.02397346
645840,-0.00607961,0.96185219,0.01780272
645842,-0.00006026,0.96185219,0.01780272
645844,-0.00006026,0.96185219,0.01780272
645848,-0.00006026,0.96185219,0.01780272
645850,0.00595915,0.97415793,0.02397346
645852,-0.00006026,0.96800506,0.01780272
645855,-0.00006026,0.96185219,0.01780272
645857,-0.00006026,0.96185219,0.01780272
645859,-0.00006026,0.96185219,0.01780272
645862,-0.00607961,0.96185219,0.01780272
645864,-0.00607961,0.96800506,0.01780272
645866,-0.00607961,0.97415793,0.01780272
645868,-0.00607961,0.97415793,0.01780272
645871,-0.00607961,0.96185219,0.01780272
645873,-0.00006026,0.96800506,0.02397346
645875,-0.00607961,0.96185219,0.03631496
645878,-0.00006026,0.95569932,0.03014421
645880,-0.00607961,0.95569932,0.03014421
645882,-0.00607961,0.95569932,0.03014421
645884,-0.00607961,0.96185219,0.03631496
645888,-0.00607961,0.96185219,0.03014421
645890,-0.00607961,0.96185219,0.03014421
645892,-0.00607961,0.96185219,0.02397346
645895,-0.00607961,0.96800506,0.02397346
645897,-0.00607961,0.96800506,0.02397346
645899,-0.00607961,0.96800506,0.02397346
645902,-0.00607961,0.95569932,0.01780272
